Cluster Index	Value	x	y	z	
1	17.8	127	52	114
1	17.8	145	7	152
1	17.8	105	156	35
1	17.8	137	81	122
1	17.7	64	30	186
1	17.7	64	161	21
1	17.7	94	69	111
1	17.7	193	89	105
1	17.7	63	141	3
1	17.7	48	125	183
1	17.7	8	33	6
1	17.7	164	106	189
1	17.7	157	141	115
1	17.7	97	195	30
1	17.7	193	167	61
1	17.7	55	25	98
1	17.7	47	126	138
1	17.7	172	193	3
1	17.7	71	71	194
1	17.7	64	27	12
1	17.7	129	163	184
1	17.7	77	108	170
1	17.7	170	55	133
1	17.7	138	4	133
1	17.7	67	23	194
1	17.7	89	155	71
1	17.7	172	7	148
1	17.7	40	181	146
1	17.7	96	161	161
1	17.7	116	19	70
1	17.7	110	144	87
1	17.7	161	87	159
1	17.7	111	61	170
1	17.7	22	42	105
1	17.7	27	111	46
1	17.7	165	175	181
1	17.7	111	124	156
1	17.7	102	33	11
1	17.7	72	35	171
1	17.7	78	104	16
1	17.7	163	176	190
1	17.7	136	162	163
1	17.7	150	41	48
1	17.7	12	37	176
1	17.6	54	6	121
1	17.6	57	98	138
1	17.6	155	32	88
1	17.6	126	64	105
1	17.6	97	180	67
1	17.6	166	6	27
1	17.6	173	114	123
1	17.6	65	93	132
1	17.6	127	46	47
1	17.6	173	165	170
1	17.6	129	107	163
1	17.6	98	185	79
1	17.6	65	62	6
1	17.6	122	191	81
1	17.6	4	184	151
1	17.6	24	85	110
1	17.6	43	4	70
1	17.6	100	141	108
1	17.6	105	142	62
1	17.6	29	89	126
1	17.6	116	131	190
1	17.6	57	44	82
1	17.6	159	139	156
1	17.6	120	112	157
1	17.6	181	94	34
1	17.6	41	139	79
1	17.6	84	165	3
1	17.6	180	91	27
1	17.6	50	40	27
1	17.6	82	105	120
1	17.6	126	148	72
1	17.6	171	155	98
1	17.6	109	70	161
1	17.6	162	103	194
1	17.6	78	101	58
1	17.6	109	183	129
1	17.6	191	142	142
1	17.6	54	172	173
1	17.6	17	95	65
1	17.6	141	102	115
1	17.5	162	77	124
1	17.5	113	72	186
1	17.5	12	164	104
1	17.5	160	189	147
1	17.5	131	71	54
1	17.5	45	70	90
1	17.5	22	119	181
1	17.5	34	113	83
1	17.5	5	179	96
1	17.5	162	108	72
1	17.5	77	8	132
1	17.5	174	129	92
1	17.5	114	170	97
1	17.5	60	40	42
1	17.5	133	153	177
1	17.5	65	25	26
1	17.5	12	184	168
1	17.5	40	10	80
1	17.5	164	24	192
1	17.5	121	194	26
1	17.5	145	35	169
1	17.5	46	92	88
1	17.5	153	31	87
1	17.5	186	117	89
1	17.5	128	187	153
1	17.5	24	133	148
1	17.5	134	14	139
1	17.5	60	93	122
1	17.5	188	10	95
1	17.5	162	15	114
1	17.5	57	39	28
1	17.5	181	24	113
1	17.5	48	43	181
1	17.5	153	78	194
1	17.5	181	128	29
1	17.5	193	83	76
1	17.5	100	26	145
1	17.5	11	141	58
1	17.5	114	173	99
1	17.5	149	168	10
1	17.5	141	27	62
1	17.5	137	141	145
1	17.4	22	18	157
1	17.4	51	99	28
1	17.4	75	146	56
1	17.4	87	159	156
1	17.4	182	97	195
1	17.4	194	29	55
1	17.4	72	100	192
1	17.4	154	13	185
1	17.4	159	12	126
1	17.4	191	39	31
1	17.4	26	14	65
1	17.4	75	4	187
1	17.4	131	12	184
1	17.4	116	127	136
1	17.4	84	173	54
1	17.4	34	20	103
1	17.4	170	171	38
1	17.4	96	148	183
1	17.4	40	17	194
1	17.4	102	173	83
1	17.4	187	155	42
1	17.4	94	155	186
1	17.4	66	138	114
1	17.4	55	113	177
1	17.4	20	183	42
1	17.4	98	185	120
1	17.4	106	87	142
1	17.4	156	180	136
1	17.4	123	45	110
1	17.4	13	85	146
1	17.4	92	102	33
1	17.4	128	113	52
1	17.4	60	120	58
1	17.4	163	8	18
1	17.4	177	159	38
1	17.4	141	8	38
1	17.4	154	130	66
1	17.4	35	10	180
1	17.4	175	45	85
1	17.4	93	190	105
1	17.4	42	181	154
1	17.4	192	13	110
1	17.4	5	174	116
1	17.4	128	165	160
1	17.4	179	167	184
1	17.3	181	151	52
1	17.3	60	121	37
1	17.3	146	148	48
1	17.3	186	35	114
1	17.3	146	191	157
1	17.3	106	165	192
1	17.3	62	177	49
1	17.3	47	165	17
1	17.3	56	150	39
1	17.3	117	18	108
1	17.3	143	15	181
1	17.3	190	178	20
1	17.3	190	114	21
1	17.3	164	187	133
1	17.3	129	161	84
1	17.3	74	54	171
1	17.3	103	146	134
1	17.3	63	137	72
1	17.3	64	157	15
1	17.3	178	35	195
1	17.3	193	48	157
1	17.3	93	135	171
1	17.3	112	70	149
1	17.3	86	140	109
1	17.3	86	25	169
1	17.3	143	29	192
1	17.3	89	150	29
1	17.3	95	50	110
1	17.3	12	153	153
1	17.3	73	139	88
1	17.3	177	175	136
1	17.3	122	132	125
1	17.3	121	175	56
1	17.3	186	96	167
1	17.3	81	106	175
1	17.3	89	70	84
1	17.3	63	72	155
1	17.3	109	161	182
1	17.3	82	122	149
1	17.3	51	41	24
1	17.3	73	54	168
1	17.3	149	194	11
1	17.3	133	96	9
1	17.3	128	135	113
1	17.3	158	92	8
1	17.3	153	86	89
1	17.3	134	90	155
1	17.3	65	98	193
1	17.2	132	10	161
1	17.2	196	74	116
1	17.2	175	79	130
1	17.2	140	124	157
1	17.2	20	12	13
